L1_1000,L1_0_001,L1_1,L1_35,L1_0_030,L1_0_010,L1_0_005,L2_1000,L2_35,L2_1,L2_0_030,L2_0_010,L2_0_005,L2_0_001,Feature
0.899469083,0,0.387642276,0.842735669,0,0,0,0.988369307,0.754967493,0.181504784,0.016624446,0.006044352,0.003968856,0.015641227,800
0.35949995,0,0.047261321,0.324078476,0,0,0,0.441041258,0.279357392,0.057448977,0.008874481,0.013677003,0.019679312,0.018402119,804
0.225727995,0,0.089894986,0.18789602,0.056689252,0,0,0.319615516,0.152851983,0.17327967,0.104625627,0.065181454,0.048434388,0.023001317,808
0.319289669,0,0,0.278589876,0,0,0,0.338803009,0.263510673,0.031735091,0.025054061,0.033743551,0.031277022,0.017349808,812
0.70825991,0,0.190243694,0.63680404,0,0,0,0.702818706,0.586437437,0.152793996,0.013259455,0.00531093,0.001841555,0.001409444,816
0.053237268,0,0.115306073,0.016851335,0.002856947,0,0,0.003399718,0.026974389,0.021334893,0.098295586,0.077301487,0.058328272,0.019579827,820
0.455987422,0,0.197295984,0.416309828,0.017024329,0,0,0.425443677,0.423193483,0.330246169,0.126102046,0.085748298,0.063235982,0.020346018,824
0.040930288,0,0,0.037460262,0,0,0,0.04678555,0.094657392,0.301504652,0.102963241,0.04445504,0.024146698,0.008393104,828
0.422845941,0,0.205430786,0.405617712,0,0,0,0.364765611,0.427269854,0.444535823,0.096749906,0.026561672,0.005284354,0.008728663,832
0.229453281,0,0.172822059,0.234044395,0,0,0,0.168089864,0.274081676,0.416458432,0.111813524,0.057225917,0.041610917,0.022096077,836
0.620544419,0,0.322638723,0.588037151,0,0,0,0.655854142,0.55744078,0.311091237,0.042091186,0.010079346,0.001861734,0.011686018,840
0.267560534,0,0.141402675,0.263592322,0,0,0,0.27711924,0.236947686,0.109728867,0.03637842,0.017095134,0.008271741,0.00282329,844
0.090641567,0,0.028301576,0.054532595,0,0,0,0.127392675,0.017482474,0.192960979,0.030373554,0.005966293,0.011851783,0.006392438,848
0.233695094,0,0.301687932,0.258368863,0,0,0,0.237966833,0.27993548,0.400562598,0.137996747,0.070885723,0.044126773,0.010339852,852
0.440136313,0,0.008498095,0.387158269,0,0,0,0.483701994,0.316258011,0.118008916,0.049963586,0.022087729,0.013505532,0.009819665,856
0.349843499,0,0,0.314939676,0,0,0,0.335073254,0.277779871,0.095349081,0.07516245,0.049324205,0.03872343,0.02347283,860
0.848293978,0,0.225739413,0.789969341,0,0,0,0.896084458,0.720139673,0.325600478,0.099100759,0.034740409,0.010509214,0.008834652,864
0.468682495,0,0.054434629,0.435845677,0,0,0,0.489466797,0.405585347,0.233401113,0.048142847,0.011942098,0.003647543,0.001085657,868
0.589963843,0,0.288032145,0.568321195,0.004631786,0,0,0.606916978,0.536368529,0.331291032,0.084006894,0.045979736,0.032813742,0.012247592,872
0.467064811,0,0.190894284,0.422554793,0,0,0,0.537090248,0.372052957,0.03192179,0.02143362,0.028350426,0.025138553,0.009788674,876
0.131432336,0,0,0.107767668,0,0,0,0.234505181,0.110775096,0.011269241,0.031005188,0.024048619,0.015340906,0.001654231,880
0.931062758,0,0.327858631,0.863860337,0,0,0,1.042633371,0.802577555,0.312302864,0.009697277,0.019528939,0.026853101,0.025743372,884
1.170354367,0,0.415928207,1.096096713,0.065067752,0.038215079,0,1.176611176,1.018179459,0.460362067,0.166937796,0.116264077,0.090956801,0.051970745,888
1.219637118,0,0.28287125,1.120249808,0,0,0,1.257090946,0.992112764,0.191290322,0.008285101,0.013403929,0.019968653,0.032561611,892
0.247395895,0,0.470522816,0.27120371,0,0,0,0.22752764,0.273310894,0.339364966,0.128298654,0.05955491,0.026385184,0.018436317,896
0.510896856,0,0.091205012,0.461845987,0,0,0,0.565386503,0.422999663,0.060139764,0.008686762,0.003893589,0.001823547,0.019963337,900
0.154907539,0,0.089644467,0.127401395,0,0,0,0.161754946,0.134699975,0.034047318,0.029068421,0.025922958,0.01747823,0.010376947,904
2.041497,0,0.811972446,1.90666459,0.011216424,0,0,2.086241345,1.745724777,0.564759166,0.138837958,0.080426038,0.047892157,0.002437442,908
0.887352281,0,0,0.801300886,0,0,0,0.858828598,0.729389671,0.114200539,0.07126188,0.045302582,0.025557959,0.009139385,912
1.384441592,0,0.269074791,1.279597799,0,0,0,1.383752229,1.178858016,0.334295064,0.082684034,0.066230962,0.055180937,0.040801523,916
1.053885577,0,0.385788911,1.009500199,0.156929018,0.121956693,0.080215862,0.933233416,1.001307629,0.674167655,0.168029575,0.116615483,0.094836861,0.059026061,920
1.939138767,0,0.904013338,1.857190056,0,0,0,1.889667882,1.772076647,0.918410075,0.055737805,0.01307644,0.031574273,0.038257802,924
0.632172714,0,0.266872157,0.627349227,0,0,0,0.557372341,0.658959121,0.533195647,0.016639682,0.001588361,0.00481779,0.01959607,928
2.021950612,0,0.971179237,1.930295591,0,0,0,2.030981032,1.811839617,0.850058792,0.108378674,0.044279995,0.021308851,0.007211691,932
0.149938521,0,0.000113038,0.150511445,0,0,0,0.045043533,0.174986215,0.216586207,0.058851499,0.019237488,0.006095458,0.001786781,936
1.414129495,0,0.715572476,1.345937577,0,0,0,1.400391187,1.246981453,0.551065671,0.166012375,0.112781283,0.085661226,0.038105282,940
1.314570024,0,0.784429782,1.244378212,0.228909314,0.038602234,0,1.405408132,1.123731975,0.507899648,0.248284633,0.186845662,0.148648492,0.074639926,944
0.526388548,0,0.320482745,0.512203553,0.060852373,0.08653704,0.006462876,0.54855226,0.484090561,0.218919016,0.146270339,0.147142374,0.135141176,0.085967287,948
0.971625105,0,0.624073606,0.920003219,0.117846781,0.127600658,0.122763437,1.11140287,0.844929523,0.395176373,0.150968638,0.135937172,0.124980054,0.082567149,952
1.542162072,0,0.774648544,1.463040206,0.181964475,0.045675889,0,1.54030861,1.320740305,0.46775329,0.215832233,0.168672284,0.136798473,0.07156009,956
0.505257847,0,0.33955255,0.48032034,0,0,0,0.548350145,0.449933075,0.32291998,0.161693366,0.119360391,0.091554538,0.040668437,960
1.032717265,0,0.518497496,0.971139719,0,0,0,1.098246978,0.85967667,0.169256244,0.022721201,0.015994289,0.011806314,0.005504262,964
0.815073497,0,0.342887792,0.771845969,0,0,0,0.854967008,0.705811833,0.26028135,0.007059144,0.032547137,0.034813256,0.023889112,968
0.262542751,0,0.119074424,0.264116406,0.041183413,0.001489977,0,0.171673383,0.267539922,0.204107742,0.065736596,0.032507141,0.027347163,0.024415222,972
1.120123095,0,0.637430549,1.08105353,0,0,0,1.070573925,0.99724537,0.44532383,0.151081071,0.070114004,0.033488591,0.009002651,976
0.332385681,0,0.060999993,0.293254698,0,0,0,0.426089312,0.268244612,0.062799055,0.052275975,0.033792262,0.022192437,0.01268417,980
0.220540159,0,0.014649278,0.196998801,0,0,0,0.163314175,0.200440461,0.183106281,0.090453094,0.033124343,0.011664707,0.001317069,984
1.706458257,0,0.816034443,1.604767371,0.11611149,0,0,1.718559911,1.474248115,0.64728569,0.260733931,0.163932117,0.114852019,0.042053755,988
0.09213555,0,0.16122706,0.062196063,0,0,0,0.086649791,0.053415253,0.102726305,0.117847606,0.091955254,0.071688724,0.029313809,992
0.583585768,0,0.08516854,0.523736504,0,0,0,0.649015313,0.460546805,0.002625239,0.084060494,0.041543814,0.022018758,0.006460529,996
0.318931969,0,0.237306609,0.308124396,0,0,0,0.363698352,0.265189651,0.066644086,0.027535229,0.005185415,0.005834793,0.015347559,1000
0.799418717,0,0.438811812,0.758991792,0,0,0,0.834359831,0.711664482,0.359843711,0.049238814,0.002107388,0.021924508,0.035196432,1004
0.119815481,0,0,0.105920653,0.117062392,0.076943683,0.025983934,0.17350229,0.065569714,0.174979377,0.125100716,0.084632354,0.070535148,0.051156797,1008
0.667733946,0,0.32109863,0.624937702,0,0,0,0.73410661,0.5638864,0.197864218,0.005369412,0.028556362,0.033663925,0.03403905,1012
0.384413715,0,0.182500893,0.366214222,0,0,0,0.389041211,0.329440325,0.090033895,0.001188615,0.000329015,0.004915711,0.0151924,1016
0.761569293,0,0.3587464,0.710852021,0,0,0,0.884575613,0.635115005,0.187835558,0.060231731,0.036521664,0.020226005,0.006084585,1020
0.703246389,0,0.44357661,0.66794108,0,0,0,0.687121558,0.607707378,0.293400908,0.079872703,0.042742383,0.025602285,0.002152626,1024
0.281532599,0,0.020857579,0.260506811,0.012983652,0,0,0.360343304,0.22100083,0.098875292,0.100818215,0.059193889,0.041463323,0.02219966,1028
1.079753823,0,0.618572105,1.018869104,0,0,0,1.148086169,0.924041627,0.374378494,0.050161207,0.014827599,0.001535041,0.009510964,1032
0.610152632,0,0.308456648,0.584929872,0,0,0,0.696658469,0.538139548,0.185033585,0.063141717,0.03310976,0.018594304,0.002063103,1036
0.972497807,0,0.420852952,0.896858509,0,0,0,1.044254616,0.779426249,0.135327358,0.041912971,0.011543303,0.001953447,0.004065663,1040
0.536117621,0,0.368741608,0.52255214,0,0,0,0.603378221,0.494576742,0.253516469,0.090410244,0.048709224,0.032189578,0.014028818,1044
1.106599313,0,0.577163057,1.047243378,0.020118793,0,0,1.118224278,0.955298576,0.389245795,0.080326209,0.052165779,0.039185282,0.018939612,1048
0.505814457,0,0.178159457,0.461705408,0.042017889,0,0,0.633774823,0.378076583,0.063959488,0.025141058,0.055752273,0.055122496,0.030977519,1052
1.379594548,0,0.924966771,1.338147178,0.071462704,0.054932129,0,1.393081524,1.280962145,0.807381303,0.233504041,0.135008671,0.093862292,0.039678453,1056
0.09173261,0,0.11603778,0.049309091,0,0,0,0.23525417,0.027384014,0.345996568,0.122848862,0.055122767,0.026497404,0.005424552,1060
1.074296965,0,0.610709944,1.04174419,0,0,0,1.064025343,0.988962237,0.435635094,0.05126657,0.035528675,0.028646002,0.017453599,1064
1.090589931,0,0.633439199,1.022805022,0.139929181,0.064895802,0,1.246046805,0.911878016,0.484228108,0.262348616,0.169148807,0.121388381,0.046626225,1068
0.126301188,0,0,0.121263047,0,0,0,0.110559275,0.108189648,0.15186777,0.057916263,0.007942983,0.024250058,0.018366588,1072
1.794090146,0,0.984545756,1.693581601,0,0,0,1.941494413,1.534556627,0.640634702,0.109216672,0.051612053,0.031551719,0.008573367,1076
0.076560482,0,0.025213526,0.079327104,0,0,0,0.076556398,0.073230186,0.031598558,0.012708982,0.003647945,0.009849516,0.008665536,1080
0.435450021,0,0.177428583,0.39536191,0,0,0,0.567279921,0.344733914,0.05183519,0.06187831,0.030299249,0.018779559,0.005948876,1084
0.630770168,0,0.353337237,0.605921737,0,0,0,0.62882379,0.550401933,0.236018131,0.106804357,0.072558584,0.054156625,0.023149499,1088
1.144653493,0,0.657660392,1.080580527,0.083376402,0.014877313,0,1.218248511,0.977412337,0.38518476,0.133529762,0.087418474,0.065697416,0.033869129,1092
0.546082728,0,0.236976738,0.519881653,0,0,0,0.61372494,0.474365207,0.109887895,0.01919785,0.009574135,0.022183575,0.030616893,1096
0.653710199,0,0.314302865,0.607025138,0,0,0,0.703079853,0.533985448,0.142115991,0.082110134,0.077246616,0.073399987,0.054268264,1100
1.099827051,0,0.712533134,1.059695476,0.252947233,0.136838557,0.031128277,1.167294979,0.989866344,0.541980338,0.216061953,0.165064471,0.133472252,0.071210579,1104
1.001952733,0,0.547826098,0.949581181,0,0,0,1.117993811,0.868825465,0.367936251,0.181145794,0.133209969,0.102780237,0.049413189,1108
0.88850611,0,0.420205837,0.831651166,0,0,0,0.920381126,0.731925737,0.141925078,0.039111616,0.023636976,0.012269604,0.001517372,1112
0.168893246,0,0.009994975,0.152271647,0,0,0,0.282867768,0.128528711,0.059262044,0.141670954,0.09656412,0.06795298,0.02615307,1116
1.234206276,0,0.690472435,1.167613128,0,0,0,1.328796453,1.058705302,0.418434943,0.142996677,0.074741902,0.040044116,0.000982048,1120
1.07184185,0,0.605376453,1.023341822,0,0,0,1.168607523,0.937189925,0.352452333,0.078384769,0.049477295,0.030411361,0.001153546,1124
0.899114426,0,0.359520084,0.837744934,0,0,0,0.923150782,0.740777216,0.131023007,0.047726635,0.022479804,0.008806027,0.003462136,1128
0.66450095,0,0.430580152,0.63940051,0,0,0,0.797991156,0.581760129,0.265424192,0.110392487,0.079478736,0.065545688,0.037927988,1132
2.123490084,0,1.106570063,1.997478158,0.161926958,0.044032951,0,2.183424549,1.813798515,0.650078607,0.170197787,0.131017237,0.108346275,0.060050564,1136
0.092528627,0,0.010636283,0.071924225,0.017587898,0.041289535,0,0.070209949,0.061855327,0.018735707,0.092839746,0.093684862,0.082668998,0.050686884,1140
2.659130904,0,1.347891554,2.506802666,0.064182781,0,0,2.644602741,2.273983168,0.828477676,0.170946717,0.097758964,0.071988638,0.041740281,1144
0.279198415,0,0.097878325,0.267018022,0,0,0,0.09840961,0.270422286,0.249452483,0.082219548,0.014093973,0.013677866,0.035275906,1148
1.912876063,0,0.955298716,1.817902059,0.015062545,0.056489872,0.004958954,2.016022932,1.677994087,0.66209699,0.116860722,0.078559634,0.066548454,0.045179648,1152
1.159295208,0,0.727157625,1.098958121,0.112217301,0,0,1.264130656,0.987941304,0.421645103,0.158638834,0.106450814,0.077725121,0.035559701,1156
0.5768102,0,0.161749773,0.532410571,0,0,0,0.68922299,0.469190267,0.031247871,0.01350114,0.026477971,0.025137985,0.016787913,1160
1.644854458,0,0.966464452,1.562331981,0,0,0,1.698095213,1.41536333,0.532104758,0.052197518,0.022831561,0.018714472,0.0185099,1164
0.905605305,0,0.341725457,0.848224349,0,0,0,1.040676082,0.752590565,0.141867436,0.013134856,0.007645829,0.019596843,0.03152711,1168
1.217244534,0,0.723151119,1.152066314,0,0,0,1.260149818,1.048442386,0.412800441,0.163141959,0.13210698,0.113679389,0.076318715,1172
1.766454409,0,1.134289909,1.700594618,0.425721298,0.250868535,0.084303097,1.959623457,1.581334526,0.82117744,0.310596241,0.232171339,0.192375233,0.119094624,1176
